2014-12-02 00:00:00 Launching analysis for 1249929887 with LEAN Engine v2.5.0.0
2014-12-02 00:00:00 Extreme Performance 2025 Strategy Initialized
2014-12-02 00:00:00 Accurate daily end-times now enabled by default. See more at https://qnt.co/3YHaWHL. To disable it and use legacy daily bars set self.settings.daily_precise_end_time = False.
2014-12-02 00:00:00 Algorithm starting warm up...
2015-01-02 11:00:00 Algorithm finished warming up.
2015-01-05 10:00:00 Weekly Stats - Trades: 0, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 2.2
2015-01-09 10:00:00 UPRO: The security does not have an accurate price as it has not yet received a bar of data. Before placing a trade (or using SetHoldings) warm up your algorithm with SetWarmup, or use slice.Contains(symbol) to confirm the Slice object has price before using the data. Data does not necessarily all arrive at the same time so your algorithm should confirm the data is ready before using it. In live trading this can mean you do not have an active subscription to the asset class you're trying to trade. If using custom data make sure you've set the 'Value' property.
2015-01-12 10:00:00 Weekly Stats - Trades: 1, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 2.4
2015-01-20 10:00:00 Weekly Stats - Trades: 3, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 2.7
2015-01-26 10:00:00 Weekly Stats - Trades: 6, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 2.9
2015-02-02 10:00:00 Weekly Stats - Trades: 6, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2015-02-09 10:00:00 Weekly Stats - Trades: 7, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2015-02-17 10:00:00 Weekly Stats - Trades: 8, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2015-03-23 10:00:00 Weekly Stats - Trades: 11, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2015-04-06 10:00:00 Weekly Stats - Trades: 12, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2015-05-11 10:00:00 Weekly Stats - Trades: 14, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2015-05-18 10:00:00 Weekly Stats - Trades: 15, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
